dataset,disease,tissue,cell_type,gene,both,onlyA,onlyB,neither,originally_zero,disagreement
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Enterocytes BEST4,BEST4,59,0,0,0,59,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Enterocytes BEST4,OTOP2,85,0,0,0,85,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Enterocytes BEST4,CA7,39,0,0,0,39,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Enterocytes BEST4,GUCA2A,59,0,0,0,59,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Enterocytes BEST4,GUCA2B,103,0,0,0,103,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Enterocytes BEST4,SPIB,11,0,0,0,11,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Enterocytes BEST4,CFTR,95,0,0,0,95,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Goblet cells MUC2 TFF1,MUC2,0,0,0,0,0,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Goblet cells MUC2 TFF1,TFF1,39,0,0,0,39,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Goblet cells MUC2 TFF1,TFF3,3,0,0,0,3,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Goblet cells MUC2 TFF1,AGR2,6,0,0,0,6,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Goblet cells MUC2 TFF1,SPDEF,45,0,0,0,45,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Tuft cells,POU2F3,46,0,0,0,46,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Tuft cells,DCLK1,76,0,0,0,76,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Goblet cells SPINK4,MUC2,8,0,0,0,8,0.0
