,accession,title,disease,platform,samples,gse,summary
0,GSE227954,Alemtuzumab treatment exemplifies discordant immune effects of blood and cerebrospinal fluid in multiple sclerosis,multiple sclerosis,,,227954,We here analyzed CSF and blood from two relapsing-remitting multiple sclerosis (RRMS) patients early after peripheral leukocyte depletion with the anti-CD52 antibody alemtuzumab compared to untreated RRMS and control patients using single cell RNA-sequencing.
1,GSE127969,Single-cell RNA-seq in monozygotic twins discordant for multiple sclerosis,multiple sclerosis,,,127969,"Here we investigated the earliest possible evidence of subclinical neuro-inflammation (SCNI) using a small cohort of monozygotic twins where one sibling had clinically definite MS and the other been clinically ""healthy"" but has a maximal genetic for developing MS. In contrast to subjects with radiologically isolated syndrome (RIS), our group of very early SCNI does not even fulfill the (arbitrary) MRI criteria for RIS but have more subtle MRI changes and/or evidence of neuro-inflammation in the CSF, e.g. oligoclonal bands (OCBs). For analyzing CSF samples from Twin pairs and controls in greater detail we applied single-cell whole transcriptome sequencing (scRNAseq). Our findings demonstrate that even the earliest experimentally approachable stage of MS is characterized by synergistic activation of CD8+ T cells, CD4+ T cells and B cells."
2,GSE221704,RANK+TLR2+ Myeloid Subpopulation Converts Autoimmune to Joint Destruction in Rheumatoid Arthritis,rheumatoid arthritis,,,221704,"Joint destruction is the major clinic burden in patients with rheumatoid arthritis (RA). It is unclear, though, how this autoimmune disease progresses to the point of deterioration of the joint. Here, we report that in a mouse model of RA the upregulation of TLR2 expression and its a(2,3) sialylation in RANK+ myeloid monocytes mediate the transition from autoimmunity to osteoclast fusion and bone resorption, resulting in joint destruction. The expression of a(2,3) sialyltransferases were significantly increased in RANK+TLR2+ myeloid monocytes, and their inhibition or treatment with a TLR2 inhibitor blocked osteoclast fusion. Notably, analysis of our single-cell RNA-sequencing (scRNA-seq) libraries generated from RA mice revealed a novel RANK+TLR2- subset that negatively regulated osteoclast fusion. Importantly, the RANK+TLR2+ subset was significantly diminished with the treatments. Moreover, the RANK+TLR2- subset could differentiate into a TRAP+ osteoclast lineage, but the resulting cells did not fuse to form osteoclasts. Our scRNA-seq data showed that Maf is highly expressed in the RANK+TLR2- subset, and the a(2,3) sialyltransferase inhibitor induced Maf expression in the RANK+TLR2+ subset. The identification of a RANK+TLR2- subset provides a potential explanation for TRAP+ mononuclear cells in bone and their anabolic activity. Further, TLR2 expression and its a(2,3) sialylation in the RANK+ myeloid monocytes could be effective targets to prevent autoimmune-mediated joint destruction."
3,GSE202375,Pooled single-cell RNA-seq data from T cells from human synovial tissue,rheumatoid arthritis,,,202375,T cells from several separate single-cell RNAseq datasets from human RA synovial tissue were combined into one dataset. The dataset includes both previously published and new data.
4,GSE202366,Single-cell RNA-seq of CD8 T cells sorted from one sample of seropositive rheumatoid arthritis synovial fluid,rheumatoid arthritis,,,202366,We used FACS to sort CD8 T cells from synovial fluid mononuclear cells from one patient with seropositive rheumatoid arthritis
5,GSE159117,Single cell RNA-seq for PBMC from rheumatoid arthritis patient,rheumatoid arthritis,,,159117,"The transcriptome of PBMC from rheumatoid arthritis patient hasn't been compenhensively profiled, and heterogeneous characteristics of blood monocytes in RA patients are much unknown. We performed the single cell transcriptomic analysis of PBMC from rheumatoid arthritis (RA) patient, and monocyte populations were extracted during the analysis. CD127 expression associated expression pattern of inflammatory genes was identified in RA patient's blood monocytes."
6,GSE109449,Single cell RNA-seq analysis of freshly isolated synovial fibroblasts in patients with rheumatoid arthritis or osteoarthritis,rheumatoid arthritis,,,109449,Transcriptomics of distinct subpopulations of synovial fibroblasts from osteoarthritis and rheumatoid arthritis arthroplasty tissues.
7,GSE254176,Dynamic changes of immune cells in systemic lupus erythematosus with nephritis using longitudinal peripheral blood single-cell RNA-seq,systemic lupus erythematosus,,,254176,"Disease activity in patients with systemic lupus erythematosus (SLE) may fluctuate between flares and remissions, complicating effective disease management. The aim of this study is to detect early signs of cellular attributes responsible for flares and to understand dynamic changes in the immune system. Peripheral blood mononuclear cells were collected at different time points throughout the disease course from 6 patients with SLE (n = 19) and 32 healthy donors fromthe Asian Immune Diversity Atlas (AIDA), and subsequently underwent to generate single cell gene expression combined with T cell receptor (TCR) and B cell receptor (BCR) clonotypes data (10X Chromium 5’, TCR sequencing)."
8,GSE239460,Single-cell RNA and ATAC sequencing revealed distinct molecular characteristics of B cells in systemic lupus erythematosus and primary Sjogren's syndrome,systemic lupus erythematosus,,,239460,This SuperSeries is composed of the SubSeries listed below.
9,GSE239459,Single-cell RNA and ATAC sequencing revealed distinct molecular characteristics of B cells in systemic lupus erythematosus and primary Sjogren's syndrome (scRNA-Seq),systemic lupus erythematosus,,,239459,"Objective: Autoimmune diseases (ADs), such as systemic lupus erythematosus (SLE) and primary Sjögren's syndrome (pSS), are complex diseases with poorly understood pathogenetic mechanisms. Epigenetic changes are crucial regulatory elements in B-cell differentiation, and disruptions to these mechanisms may contribute to the development of ADs. We hypothesized that shared mechanisms may contribute to the pathogenesis of SLE and pSS by disrupting transcriptional circuits."
